title,artist_name,release,year,tag,caption_writing
Glorify Your Name,Darlene Zschech,Change Your World,0,"['contemporary gospel' 'religious' 'pop' 'gospel' 'contemporary christian'
 'praisenworship']","This contemporary Christian song combines elements of praise and worship with pop influences, resulting in a religious anthem that seamlessly blends gospel and contemporary gospel sounds."
Revenge Of The Prophet (Part 5),Jeru The Damaja,Wrath Of The Math,1996,"['bitter' 'hostile' 'aggressive' 'hardcore rap' 'intense' 'literate'
 'menacing' 'eerie' 'confrontational' 'hip hop' 'rousing' 'uncompromising'
 'street smart' 'rap' 'empowering' 'east coast rap' 'paranoid' 'harsh'
 'angry' 'visceral']","This hardcore rap song from a street smart East Coast rapper is uncompromising, confrontational, and aggressive, with an intense and menacing vibe that reflects the bitter, angry, and paranoid themes of the lyrics, yet it's also empowering and rousing, with literate and visceral verses that make for an eerie and hostile hip hop experience."
MODUL 11,Nik Bärtsch,Hishiryo - Piano Solo,2002,['jazz' 'ambient'],"Indulge in a relaxing and sophisticated musical journey with our latest jazz-infused ambient track, blending smooth beats and ethereal tones in perfect harmony."
Die My Darling,Kittie,In The Black,2009,"['malevolent' 'aggressive' 'intense' 'thrash metal' 'metalcore' 'rock'
 'menacing' 'girls night out' 'confrontational' 'heavy metal' 'hardcore'
 'alternative metal' 'loss grief' 'street smart' 'empowering' 'ominous'
 'metal' 'pop rock' 'hard rock' 'angry' 'volatile']","This song is an empowering and confrontational track with an aggressively malevolent sound that flirts with various genres from alternative metal to thrash metal, hardcore, and metalcore. Featuring an intense and ominous pop rock melody infused with heavy, hard rock riffs, it's perfect for a girls' night out or anyone looking to express feelings of loss, grief, or anger. The song's volatile and menacing energy is complemented by its street-smart lyricism, making it a must-listen for fans of rock and metal alike."
Santa Loves to Boogie,Asleep At The Wheel,Santa Loves to Boogie,2007,"['western swing revival' 'contemporary country' 'country'
 'neo traditionalist country']",Get ready to swing your partner with this contemporary country tune that pays tribute to the neo traditionalist and western swing revival sounds of classic country music.
You're Not Alone (Album / Single Version),Chicago,The Very Best Of: Only The Beginning,0,['70s' 'classic rock'],"Taking a page straight out of the 70s classic rock era, this song boasts high energy guitar riffs, groovy bass lines, and powerful vocals."
We Always Come Home,Toy Matinee,Toy Matinee,1990,"['earnest' 'sentimental' 'contemporary pop rock' 'alternative indie rock'
 'progressive rock' 'adult alternative pop rock' 'pop rock' 'progressive']","This heartfelt and introspective anthem blends adult alternative pop rock and progressive rock with elements of alternative indie rock and contemporary pop rock, resulting in a truly earnest and sentimental track that beckons listeners to embark on a soul-stirring journey of self-discovery and reflection."
Uh La La La,Alexia,The Party,1997,"['celebratory' 'club dance' 'pop' 'sexy' 'carefree' 'electronic'
 'italian music' 'energetic' 'dance' 'fun' '90s' 'house' 'international'
 'pop rock' 'western european traditions' 'playful']","This song is an energetic, international pop rock anthem with playful electronic beats and house influences, reminiscent of 90s club dance tracks, blending western European traditions and sexy Italian music into a fun and celebratory pop hit perfect for carefree dance parties."
It's Hard To Be Mistreated,Memphis Minnie,Queen Of Country Blues,1999,['blues'],"This soulful blues track immerses the listener in a world of heartache and raw emotions, with powerful vocals and captivating guitar riffs."
Propositions,Curved Air,Curved Air,1970,['rock' 'pop' 'progressive rock' 'pop rock' 'progressive'],"This song seamlessly blends progressive rock, pop rock, and pop elements to create an innovative and captivating sound within the realm of progressive rock music."
Death 9000,Mux Mool,Skulltaste,2010,"['avant garde' 'club dance' 'hip hop' 'electronic' 'experimental' 'funk'
 'pop rock' '00s' 'indie']","This song combines elements of pop rock, electronic, hip hop, indie, funk, avant garde, and experimental music to create a dynamic and club dance-friendly sound that is emblematic of the early 00s music scene."
Up Here In The North Of England,The Icicle Works,If You Want To Defeat Your Enemy Sing His Song,1987,['synthpop' '80s'],This upbeat song transports listeners back to the neon-filled dance floors of the 80s with its infectious synthpop melody.
Shores of White Sand,Emmylou Harris,All I Intended to Be,2008,"['earnest' 'elegant' 'reflective' 'beautiful' 'alt country' 'pop'
 'alternative' 'sentimental' 'contemporary country' 'introspection'
 'bittersweet' 'ethereal' 'ambitious' 'alternative indie rock' 'country'
 'reflection' 'soothing' 'calm peaceful' 'pop rock' 'poignant'
 'atmospheric' 'intimate' 'folk' 'sunday afternoon']","This alternative indie rock song is a beautiful and reflective piece that is both intimate and ethereal, combining elements of alt country, pop rock, and folk music to create an atmospheric and soothing sound that is perfect for a calm Sunday afternoon of introspection and reflection, with a poignant and bittersweet tone that is both honest and earnest, showcasing the artist's ambitious and contemporary approach to the alternative music genre."
Dieter Meyers Inst.,Kaizers Orchestra,Maestro,2005,"['cathartic' 'indie rock' 'provocative' 'urgent' 'dramatic' 'intense'
 'rowdy' 'new wave post punk revival' 'menacing' 'euro rock'
 'the creative side' 'late night' 'alternative' 'passionate' 'meandering'
 'rollicking' 'rousing' 'raucous' 'nihilistic' 'fiery'
 'alternative indie rock' 'ominous' 'maverick' 'pop rock' 'atmospheric'
 'lively' 'volatile']","An intense, rollicking anthem that vividly captures the maverick spirit of alternative indie rock, with a rowdy, ominous energy that is both cathartic and atmospheric, driven by the urgent, passionate vocals and the fiery, new wave post punk revival riffs that make this song an unforgettable and provocative journey through the nihilistic and volatile side of the creative spirit - a perfect late night soundtrack for those who crave something more than just pop rock, but a truly rousing and meandering experience that will leave you breathless and hungry for more."
Gospel Groove,Shuggie Otis,Shuggie's Boogie:  Shuggie Otis Plays The Blues,1970,"['exuberant' 'electric blues' 'road trip' 'regional blues'
 'west coast blues' 'rnb' 'hypnotic' 'amiable good natured' 'sensual'
 'introspection' 'soul' 'pool party' 'blues' 'summer' 'freewheeling']","Get ready for a soulful, exuberant road trip with amiable good-natured mates as you journey through the regional blues of the West Coast, filled with moments of introspection and hypnotic freewheeling groove, perfect for a summer pool party or sensual rendezvous, powered by the electrifying blend of RnB and blues music."
Enough Love,Kim Stockwood,Bonavista,0,['canadian' 'pop' 'pop rock'],"Experience the infectious pop rock beats of the Canadian duo, as they deliver a perfect blend of undeniable pop hooks and electrifying guitar riffs in their latest pop-infused hit."
Beat Of The Night,Alexia,Fan Club,1997,['eurodance' '90s'],This upbeat and energetic eurodance track from the 90s features pulsing beats and catchy synth melodies guaranteed to get you moving.
Left Hand Blues,Big Bill Morganfield,Rising Son,0,"['passionate' 'rollicking' 'contemporary blues' 'modern electric blues'
 'earthy' 'blues']","Get ready to be swept away by the passionate and rollicking sounds of modern electric blues with a contemporary twist, as this earthy and authentic blues track takes you on a musical journey to a place where the blues still reign supreme."
Yours,Lovex,Divine Insanity - International version,2005,['rock' 'sad'],"Experience the emotional depth of heartbreak through the raw, gritty sound of rock in this captivating and sorrowful ballad."
If You Got a Love You Better (Hold On to It),Bobby Byrd,Hot Pants! (The Amazing Bobby Byrd),1972,['funk' 'soul'],This soulful and funky track features smooth grooves and infectious rhythms that will have you moving and grooving all night long.
Blue Eyed Pop,The Sugarcubes,It's - It,1988,['rock' 'alternative'],"This is a raw and highly energized alternative rock track, featuring gritty guitar riffs, driving basslines, and explosive drums that come together to create an edgy and highly infectious sound."
Wandering Eye,Fat Freddy's Drop,Wandering Eye 12,2005,['reggae'],This new track is a lively and infectious reggae tune that will have you swaying to its irresistible beat.
Party On The Mountain,Nitty Gritty Dirt Band,Welcome To Woody Creek,2004,['country' 'folk'],"This Americana-inspired song is a fusion of folk and country, featuring twangy acoustic guitars and heartfelt lyrics about life in rural America."
Black Betty,Ram Jam,Original Hits - Pub Jukebox,1977,['70s' 'rock' 'classic rock'],"Experience the electrifying energy of classic rock from the 70s with this hard-hitting rock anthem, guaranteed to leave you headbanging and craving more!"
Killer Boots,Accidents Never Happen,Oslo Beat,0,['rock' 'alternative' 'pop rock' 'indie'],"This song boasts a unique blend of pop rock, indie, alternative, and straight up rock that is sure to cater to a diverse range of music lovers out there."
Endless Rail,The Inchtabokatables,Ultimate Live,2001,['rock' 'alternative rock' 'pop rock'],"This energetic and catchy song blends pop rock, alternative rock, and rock elements together for a dynamic and unforgettable listening experience."
Stand Up,Frankie Paul,Come Back Again,0,['dancehall' 'reggae'],"This high-energy track blends the infectious rhythms and beats of dancehall with the soulful melodies and uplifting messages of reggae, resulting in a vibrant and irresistible sound that's sure to get the party started."
Shadow Of The Hierophant (Extended Playout Version),Steve Hackett,Voyage Of The Acolyte,2005,"['gloomy' 'dramatic' 'theatrical' 'literate' 'melancholy' 'prog rock'
 'indulgent' 'complex' 'introspection' 'cerebral' 'ambitious' 'ominous'
 'progressive rock' 'elaborate' 'pop rock' 'detached']","Indulgent and cerebral, this ambitious and literate song combines the complex, progressive rock sounds with pop rock sensibility while exploring themes of introspection and melancholy, creating an ominous and gloomy atmosphere that is both dramatic and theatrical."
Huckleberry Grove,Ocean Colour Scene,Songs For The Front Row - The Best Of,1997,['britpop' 'rock' 'pop' 'mod' '90s' 'acoustic' 'indie'],"This upbeat and catchy tune has elements of britpop, indie, and pop while also incorporating mod and rock influences from the 90s, all while maintaining an acoustic feel."
You're Here,Steve Vai,G3 Live:  Rockin' in the Free World,0,['guitar' 'guitar virtuoso' 'rock' 'hard rock'],"Get ready to be blown away by the electrifying guitar virtuoso who rips through hard rock and delivers raw, authentic sound with every note on their trusty guitar."
Nobody's Lonesome for Me,Hank Williams,Hank Williams Jamboree,1965,['country'],"Filled with twangy guitar riffs and heart-wrenching lyrics, this new country hit is sure to make you grab your cowboy hat and dance along."
Roadworn And Weary,The Supersuckers,Live at Bart's CD Cellar and Record Shop,0,['punk' 'mellow' 'rock' 'country' 'acoustic'],"This song is an eclectic blend of punk and mellow vibes with a touch of country twang, elevated by the driving energy of rock while still maintaining a raw acoustic feel."
Set it on Fire,Eve,Le Transporteur 3 - The Transporter III (Original Motion Picture Soundtrack),0,['hip hop' 'electronic' 'cool' '00s'],"Get lost in the smooth beats of this electronic hip hop track, with a cool vibe straight out of the 00s."
Have I Told You Lately That I Love You,George Faith,Reggae For Lovers,1996,['reggae'],Get ready to unwind with this smooth and groovy reggae tune that'll transport you to a tropical paradise.
One More Night,Stars,Live at Lollapalooza 2006: Stars,2006,['indie pop' 'indie'],"This indie pop song is a catchy and upbeat track featuring energetic guitar riffs, shimmering synthesizers, and a playful vocal delivery that perfectly encapsulates the free-spirited and unapologetically individualistic attitude of the indie music scene."
Something Spooky,Atomic Kitten,Right Now,1999,"['female vocalist' 'swinging' 'british' 'pop' 'dance pop' '90s'
 'agreeable' 'positive' 'teen pop' 'pop rock']","Get ready to experience a groovy journey back to the 90s with this agreeable and positive pop rock track led by a charismatic British female vocalist, combining elements of dance pop and swinging teen pop that is bound to get you dancing!"
I Forgive You,Maria McKee,Maria McKee,1993,"['cathartic' 'earnest' 'reflective' 'organic' 'romantic' 'delicate'
 'alternative pop rock' 'literate' 'alternative' 'passionate'
 'college rock' 'sophisticated' 'bittersweet' 'ambitious'
 'alternative indie rock' 'pop rock' 'country rock' 'poignant' 'intimate'
 'enigmatic']","This alternative indie rock song is a sophisticated and ambitious blend of pop rock and alternative pop rock, layered with poignant and passionate lyrics that evoke a delicate and earnest romance. The cathartic and reflective vibe, along with its literate and intimate lyrics, make it an enigmatic and organic addition to the college rock and alternative scenes. It has a bittersweet country rock flair that adds depth to its captivating and emotionally charged sound."
Man vs Ape,Eyedea & Abilities,E&A,2004,['hip hop'],"In this upbeat and high-energy track, the artist delivers clever rhymes and catchy beats that perfectly capture the essence of classic hip hop music."
Spanish Lady,Shane MacGowan And The Popes,The Rare Oul' Stuff,0,['folk'],This song is a beautifully crafted folk ballad that will transport you to a simpler time.
Fried Bananas,Cal Tjader,Solar Heat,1968,['latin jazz' 'jazz' 'world fusion' 'cool' 'post bop' 'afro cuban jazz'],"This cool and innovative jazz song seamlessly blends world fusion, post bop, and Latin jazz with a touch of Afro-Cuban influence."
Da Booty,A Tribe Called Quest,The Love Movement,1998,"['jazz rap' 'sexual' 'confident' 'smooth' 'partying' 'celebratory' 'witty'
 'coolncocky' 'guys night out' 'boisterous' 'hip hop' 'brash'
 'amiable good natured' 'carefree' 'rousing' 'street smart' 'rap'
 'freedom' 'east coast rap' 'energetic' 'warm' 'fun' 'soothing'
 'swaggering' 'intimate' 'playful' 'alternative rap' 'freewheeling']","This song is a celebration of guys night out with its upbeat energy and freewheeling jazz rap flow, featuring witty and playful lyrics that exude confidence and street smarts, all while maintaining a carefree and amiable good-natured attitude. The smooth and soothing vocals are complemented by a boisterous and rousing beat, making it a perfect party anthem for anyone looking to let loose and have some fun. As an alternative rap track, it seamlessly combines hip hop and jazz elements to create a unique and refreshing sound that is both cool and cocky, while remaining intimate and sexual in nature. Overall, this song is a must-listen for anyone who loves east coast rap and wants to experience the freedom and swaggering spirit it represents."
Start It Up,A Tribe Called Quest,The Love Movement,1998,"['jazz rap' 'sexual' 'confident' 'smooth' 'partying' 'celebratory' 'witty'
 'coolncocky' 'guys night out' 'boisterous' 'hip hop' 'brash'
 'amiable good natured' 'carefree' 'rousing' 'street smart' 'rap'
 'freedom' 'east coast rap' 'energetic' 'warm' 'fun' 'soothing'
 'swaggering' 'intimate' 'playful' 'alternative rap' 'freewheeling']","This lively and dynamic jazz rap anthem boasts clever and charming lyrics delivered by a confident and swaggering artist, creating a perfect blend of East Coast street smarts and alternative freewheeling spirit. The song's cool and cocky vibe encourages carefree partying with the boys, celebrating freedom and sexual liberation in a fun and amiable good-natured way, while the soothing and smooth rhythms make for a warm and intimate atmosphere, rousing up the energy and excitement with boisterous and playful beats that invite everybody to join in on the fun. Overall, this song is a perfect addition to any guys night out, inspiring all to let loose and enjoy the moment with its celebratory and hip hop-infused sounds."
Criminal Set,Xzibit,Weapons of Mass Destruction (Explicit),2004,['hip hop' 'cool' 'funk' 'west coast rap'],This hip hop track boasts smooth West Coast rap flows with a cool attitude and funky beat that will have you grooving all night long.
Generator Oil,Lefties Soul Connection,Hutspot,2006,['rnb' 'electronic' 'funk' 'pop rock'],"This song infuses elements of pop rock, electronic beats, captivating funk riffs, and smooth R&B vocals for a truly dynamic and genre-bending sound."
Even it Up,Heart,Live,0,['rock' 'classic rock' 'female vocalists'],"Get ready to rock out with powerful and timeless classic rock hits, brought to life by exceptional female vocalists who deliver electrifying performances in every song."
Road To Hell,Bruce Dickinson,The Best Of Bruce Dickinson,0,"['hanging out' 'gloomy' 'confident' 'aggressive' 'theatrical'
 'guys night out' 'boisterous' 'heavy metal' 'late night' 'tgif'
 'pop rock' 'gritty']","This boisterous pop rock anthem is perfect for a guys night out, exuding confident and aggressive energy with gritty heavy metal undertones, while the theatrical and gloomy vibe sets the scene for a late night of hanging out and celebrating TGIF."
Believer (2006 Remastered LP Version),Chic,Definitive Groove: Chic,0,['80s'],This infectious pop anthem takes listeners on a nostalgic journey back to the synth-filled soundscape of the iconic 80s era.
How,The Cranberries,Gold,1993,"['cathartic' 'earnest' 'elegant' 'indie rock' 'reflective' 'brooding'
 'organic' 'theatrical' 'alternative pop rock' 'heartache' 'rock'
 'literate' 'confrontational' 'alternative' 'amiable good natured'
 'passionate' 'sentimental' 'rousing' 'sophisticated' 'raucous'
 'whimsical' 'earthy' 'contemporary pop rock' 'stylish' 'introspection'
 'bittersweet' 'cynical sarcastic' 'alternative indie rock' 'reflection'
 'adult alternative pop rock' 'indie pop' 'pop rock' 'playful' 'detached']","This adult alternative pop rock song is both confrontational and sophisticated in its alternative indie rock sound, showcasing a mix of sentimental and detached vocals that transition seamlessly into a passionate and amiable good-natured chorus. Laden with earnest reflection, cynical sarcasm, and deep introspection, it balances whimsical, cathartic, and earthy themes against the contemporary pop rock backdrop. The brooding indie pop verses give way to a rousing alternative pop rock chorus, steeped in heartache and literate, reflective lyrics, while retaining an elegant, raucous, and playful delivery that is both stylish and organic, resulting in a bittersweet and theatrical experience."
Dance Of The Golden Flamingoes,Julian Jay Savarin,Waiters On The Dance,2001,"['dramatic' 'theatrical' 'druggy' 'boisterous' 'the creative side'
 'prog rock' 'rollicking' 'rousing' 'scary music' 'ethereal'
 'progressive rock' 'maverick' 'elaborate' 'pop rock' 'psychedelic garage'
 'lively' 'trippy' 'freewheeling']","This progressive rock anthem is a freewheeling, ethereal journey that seamlessly blends pop rock with psychedelic garage and boisterous prog rock, resulting in an elaborate and dramatic masterpiece that showcases the maverick and creative side of the artist, with a trippy and druggy vibe that's both rollicking and scary music, punctuated by rousing theatrics and lively instrumentals that are sure to transport the listener to another realm."
Five Steps,The Davenports,Speaking Of The Davenports,2000,"['mellow' 'guitar' 'alternative pop rock' 'alternative indie rock'
 'acoustic' 'pop rock']","Get ready for an eclectic mix of alternative indie rock, pop rock, and alternative pop rock sounds, combining electric and mellow acoustic guitar elements that perfectly complement each other."
The Guv'Nor,Brian May,Another World,1998,"['earnest' 'urgent' 'dramatic' 'aggressive' 'guitar virtuoso' 'theatrical'
 'rock' 'bright' 'heavy metal' 'classic rock' 'brash' 'small gathering'
 'rousing' 'freedom' 'energetic' 'bittersweet' 'warm' 'swaggering'
 'pop rock' 'hard rock' 'lively']","This aggressive and energetic rock anthem showcases the guitar virtuoso's prowess in classic and hard rock, with swaggering pop rock and a touch of heavy metal thrown in for good measure, all set to a bright and lively beat perfect for a small gathering. The earnest and urgent vocal delivery adds a sense of freedom and brashness to the performance, tempered by bittersweet and theatrical flourishes that create a warm and dramatic, yet rousing atmosphere."
Shattered By Broken Dreams,Avenged Sevenfold,Sounding The Seventh Trumpet,2001,"['bitter' 'earnest' 'emo' 'urgent' 'dramatic' 'malevolent' 'aggressive'
 'intense' 'metalcore' 'menacing' 'confrontational' 'heavy metal'
 'alternative metal' 'tense anxious' 'angst ridden'
 'alternative indie rock' 'ominous' 'metal' 'pop rock' 'post hardcore'
 'harsh' 'angry' 'volatile' 'bleak']","This song is a bitter and aggressive piece of alternative indie rock that seamlessly blends elements of alternative metal, pop rock, and heavy metal, resulting in an intense and menacing track that encapsulates an urgent sense of angst with harsh and ominous lyrics, creating a dramatic and angst-ridden piece of post hardcore, emo and metal that is both tense and anxious, ultimately leading to a malevolent and volatile sound that is both bleak and captivating."
Sky Juice,Lone Ranger,M-16,1980,['dancehall' 'reggae' 'dub'],"This new dancehall track features a fusion of reggae and dub influences, resulting in a vibrant and exciting sound perfect for the dance floor."
Geisha Boys And Temple Girls,Heaven 17,* Naked As Advertised  Versions 08,1981,['electronic' '80s'],Transport yourself back to the neon lights and synth-heavy beats of the 80s with this electrifying electronic track.
The Piano Lesson,The Carla Bley Band,I Hate To Sing,2005,['jazz'],"This mesmerizing tune combines a sultry jazz melody with smooth vocals, creating the perfect late-night listening experience."
From Head To Sandy Toes,The Loose Salute,Tuned To Love,2007,"['earnest' 'laid back mellow' 'relaxed' 'road trip'
 'alternative country rock' 'reverent' 'amiable good natured' 'wistful'
 'dreamy' 'earthy' 'gentle' 'alternative indie rock' 'nostalgic'
 'calm peaceful' 'yearning' 'indie pop' 'pop rock' 'summer' 'sweet']","This alternative indie rock masterpiece captures the essence of a road trip with its calm peaceful undertones and pop rock beats, all while emanating a yearning, amiable good natured energy that's both relaxed and sweet, creating a laid-back mellow soundscape that's earnest, gentle, and nostalgic, with hints of earthy indie pop and wistful alternative country rock that perfectly captures the reverent, dreamy essence of a summer day."
I'll Still Be Loving You,Restless Heart,Restless Heart,1986,"['amiable good natured' 'sophisticated' 'adult contemporary'
 'contemporary country' 'country' 'pop rock' 'refined']",Experience the fusion of sophisticated and refined pop rock with the amiable good-natured vibes of contemporary country and the smoothness of adult contemporary in this well-crafted song.
Well Fed Fuck,Born Against,9 Patriotic Battle Hymns for Children,1993,['hardcore'],This hardcore track is packed with aggressive vocals and high-energy instrumentals that are sure to get your heart racing.
Manon,Pulp,Masters Of The Universe: Pulp On Fire 1985-86,1994,['rock'],"This high-energy track is a straight-up, unapologetic rock anthem that'll have you jumping out of your seat."
The Same Thing,Big Bill Morganfield,Rising Son,0,"['passionate' 'rollicking' 'contemporary blues' 'modern electric blues'
 'earthy' 'blues']","Get ready to feel the passion and energy of a rollicking modern electric blues sound, as this contemporary blues track transports you to an earthy world of pure blues magic."
Heroes of the Corner Bar,Swingin' Utters,Hatest Grits: B-Sides and Bullshit,0,"['cathartic' 'hanging out' 'indie rock' 'aggressive' 'coolncocky' 'rock'
 'rowdy' 'boisterous' 'confrontational' 'wry' 'snide' 'rambunctious'
 'passionate' 'punk revival' 'raucous' 'street smart' 'empowering'
 'energetic' 'alternative indie rock' 'pop rock' 'gritty' 'fierce'
 'drinking' 'playful' 'visceral']","Get ready to let loose and feel alive as the alternative indie rock anthem hits hard with aggressive guitar riffs, confrontational lyrics, and a rowdy beat that empowers you to let loose and enjoy the visceral, cathartic experience of hanging out and drinking with the street smart, raucous crowd. The punk revival energy blends with pop and indie rock influences, delivering a passionate and playful performance that's both wry and snide, as the coolncocky attitude of the band takes over, leaving you feeling gritty and fierce after a rambunctious, boisterous ride through the world of rock."
Don't Come Around Here No More,Tom Petty And The Heartbreakers,Greatest Hits,1985,['rock' 'classic rock' '80s'],This classic rock anthem from the 80s delivers electrifying guitar riffs and raw vocals that capture the essence of the golden era of rock.
When You Walk In The Room,Fyfe Dangerfield,Fly Yellow Moon,2010,"['earnest' 'reflective' 'early morning' 'alternative pop rock' 'british'
 'rock' 'alternative' 'happy' 'amiable good natured' 'carefree' 'quirky'
 'introspection' 'innocent' 'alternative indie rock' 'fun' 'indie pop'
 'pop rock' 'atmospheric' 'summer' 'cheerful' 'sweet' 'indie']","This alternative indie pop rock hit showcases an amiable good natured sound, sweet lyrics, and earnest introspection, evoking happy and innocent feelings with its quirky, atmospheric indie vibe that's both fun and reflective - a perfect summer anthem for the carefree British rocker."
Don't!,Shania Twain,Don't!,2004,['pop' 'country' 'female vocalists'],"Experience the perfect blend of female vocalists, pop beats and country twang in this catchy and memorable song that's sure to have you singing along."
Your Walls My Words,Inhale Exhale,The Lost_ The Sick_ The Sacred,0,"['cathartic' 'urgent' 'alternative ccm' 'aggressive' 'intense' 'christian'
 'metalcore' 'religious' 'heavy metal' 'hardcore' 'passionate' 'spiritual'
 'alternative metal' 'christian metal' 'fiery' 'screamo'
 'alternative indie rock' 'metal' 'pop rock' 'contemporary christian'
 'post hardcore' 'hard rock' 'visceral']","This fiery and intense song is a cathartic and passionate blend of contemporary Christian, alternative indie rock, and screamo, with elements of pop rock, heavy metal, and alternative CCM. Its urgent and visceral energy is both aggressive and spiritual, with a post hardcore and metalcore edge that brings a hardcore quality to the Christian metal scene."
I'll Be The One,Phil Vassar,American Child,0,"['earnest' 'reflective' 'smooth' 'the great outdoors' 'reverent' 'picnic'
 'amiable good natured' 'sentimental' 'rollicking' 'wistful' 'rousing'
 'sophisticated' 'autumnal' 'contemporary country' 'earthy' 'stylish'
 'warm' 'fun' 'country' 'yearning' 'summery' 'summer' 'refined'
 'long walk' 'sunday afternoon' 'playful' 'slick']","This contemporary country song invites listeners to take a long walk through the great outdoors on a warm Sunday afternoon, with an amiable good-natured tone that is both sophisticated and earthy. Its slick, stylish instrumentation expertly captures a wistful yearning and warm sentimentality, evoking the reflective charm of an autumnal picnic. But when the rollicking, rousing chorus kicks in, the song becomes a playful and fun celebration of the joys of summer, with a smooth and polished flair that is both reverent and summery."
Yeah Ha,Saeed Younan,Azuli Presents Miami 2010,0,['electronic'],"This new hit song is a soundscape of electric vibes, catchy beats, and mesmerizing synths, showcasing the best of contemporary electronic music."
Return Of The King,Bruce Dickinson,The Chemical Wedding,0,"['cathartic' 'provocative' 'hostile' 'aggressive' 'revolutionary'
 'intense' 'theatrical' 'british' 'rock' 'confrontational' 'heavy metal'
 'classic rock' 'fiery' 'metal' 'pop rock' 'hard rock' 'power metal'
 'angry' 'volatile' 'visceral']","This hard-hitting track with elements of classic rock and heavy metal is an aggressive and confrontational anthem that represents the rebellious and revolutionary spirit of British power metal, featuring intense and visceral instrumentals that culminate in a cathartic and hostile experience for any listener, all while offering a provocative and theatrical commentary on society that is both fiery and angry."
(How Could You) Ever,Beth Rowley,Oh My Life,2008,"['jazz' 'alternative indie rock' 'female vocalists'
 'adult alternative pop rock' 'pop rock' 'blues'
 'contemporary singer songwriter']","Blending the sounds of Adult Alternative Pop Rock and Alternative Indie Rock with soulful hints of Jazz and Blues, this Contemporary Singer Songwriter's latest release boasts powerful Female Vocalists and an infectious Pop Rock energy."
Is Anybody Home?,Our Lady Peace,Live,1999,"['alternative pop rock' 'rock' 'alternative' 'post grunge'
 'alternative rock' 'alternative indie rock' 'pop rock']","Get ready to rock out to this band's eclectic blend of alternative indie rock, pop rock, post grunge, and alternative pop rock, with a touch of alternative rock thrown in for good measure."
Dig It (Live),Soulive,Soulive (International),0,['jazz' 'jazzy'],Get ready to tap your feet and sway your hips to the smooth and jazzy rhythms of this vintage jazz song.
Prime Of My Life,Phyllis Hyman,Living All Alone + Prime Of My Life,0,"['elegant' 'romantic evening' 'romantic' 'jazz' 'rnb' 'quiet storm'
 'dinner ambiance' 'stylish' 'sensual' 'urban' 'adult contemporary rnb'
 'soul' 'intimate' 'vocal jazz']","Indulge in an intimate and elegant romantic evening with the smooth and sultry adult contemporary R&B and soul soundscapes of this urban artist, blending vocal jazz and quiet storm with a touch of jazz for the perfect dinner ambiance, bringing a stylish and sensual vibe to the airwaves."
Unite to Progress,Capdown,Civil Disobedients,2000,"['punk' 'british' 'rock' 'pop' 'ska' 'classic rock' 'alternative'
 'alternative rock' 'ska punk' 'metal' 'pop rock']","Get ready to rock out to this dynamic blend of classic rock, pop rock, punk, alternative, ska, pop, and British influences, with a touch of ska punk, metal, and alternative rock that delivers a non-stop, high-energy rock experience."
Curious,3LW,3LW,2000,"['exuberant' 'celebratory' 'pop' 'rnb' 'amiable good natured' 'stylish'
 'urban' 'innocent' 'fun' 'female vocalists' 'soul' 'teen pop' 'pop rock'
 'cheerful']","This exuberant pop rock song, featuring urban beats and amiable good natured lyrics sung by female vocalists, is a celebration of innocent fun and youthful spirit, blending elements of pop, R&B and stylish teen pop into a soulful and cheerful mix that is sure to put a smile on your face."
Walk a Lonely Road,The Magnetic Fields,Realism,2010,['beautiful' 'electronic' 'warm' 'banjo'],"In this stunning piece, electronic beats blend with the sweet sounds of a banjo, creating a warm and beautiful melody that is sure to captivate listeners."
Long Time No See,Leon Ware,Musical Massage,2003,"['elegant' 'laid back mellow' 'sexual' 'smooth' 'sex' 'romantic'
 'slow dance' 'sexy' 'rnb' 'quiet storm' 'passionate' 'sophisticated'
 'smooth soul' 'seduction' 'sensual' 'soothing' 'soul' 'yearning'
 'intimate']","This song is a sophisticated and elegant masterpiece that intertwines elements of soul and R&B to create a yearning and passionate anthem of love and desire. The laid-back mellow rhythm offers a soothing and smooth soulful experience, perfect for slow dances and intimate moments of seduction. The smooth and sensual vocals convey a quiet storm of sexual energy, igniting a romantic flame that burns long after the music fades. Sexy and compelling, this song is the perfect soundtrack for any moment of passion and romance."
Mama,Quest Pistols,Grand Theft Auto IV: Vladivostok FM,2007,['electronic'],This electronic track is a high-energy dance anthem that will make you want to move.
One Blood (Jiggy Homicide),K-OS,Joyful Rebellion,2004,"['earnest' 'provocative' 'urgent' 'reflective' 'dramatic' 'organic'
 'canadian' 'literate' 'hip hop' 'brash' 'meandering' 'fractured'
 'sophisticated' 'tense anxious' 'underground rap' 'street smart' 'rap'
 'earthy' 'stylish' 'sprawling' 'weary' 'searching' 'alternative rap']","Experience the gripping and introspective soundscapes of Canadian underground rap artist in their latest release, a stylish and literate composition that weaves together elements of hip hop and alternative rap with fractured, meandering beats and urgent, reflective lyrics that explore themes of weariness, sophisticated searching and street smart survival, all anchored by the earthy organic rhythms of the sprawling, brash production."
Battle Hymns,The Nightwatchman,Body Of War: Songs That Inspired An Iraq War Veteran,2007,['acoustic'],"This acoustic ballad showcases the raw emotion and intimacy of the singer-songwriter's heartfelt lyrics in a stripped-down, authentic setting."
